"ID","Site","Subsite","Date","Transect_Type","Transect_Number","max_dep","min_dep","avg_dep","ver_rel_m","DRR"
"AR-370_NR2_2015-09-02_R_T3","370","NR2","2015-09-02","Radiating",3,15.5388,15.2232,15.3962075144509,0.3156,0.0694048294442214
"AR-370_NR2_2015-09-02_S","370","NR2","2015-09-02","Structural",0,15.9339,15.3521,15.5966029891304,0.581799999999999,0.0827633675285433
"AR-370_NR2_2015-09-09_R_T1","370","NR2","2015-09-09","Radiating",1,15.5024,14.8773,15.2590649681529,0.6251,0.151710253471849
"AR-370_NR2_2015-09-09_R_T2","370","NR2","2015-09-09","Radiating",2,15.5296,14.8166,15.2152167701863,0.713000000000001,0.165037058049103
"AR-370_NR2_2015-09-09_R_T3","370","NR2","2015-09-09","Radiating",3,14.9956,14.343,14.6645094674556,0.6526,0.190217837918043
"AR-370_NR2_2015-12-08_S","370","NR2","2015-12-08","Structural",0,15.1965,14.489,14.7295822510823,0.7075,0.121950352642759
"AR-370_NR2_2016-03-11_R_T1","370","NR2","2016-03-11","Radiating",1,15.2988,14.4272,14.7153930434783,0.871600000000001,0.123481569561444
"AR-370_NR2_2016-03-11_R_T2","370","NR2","2016-03-11","Radiating",2,14.9024,14.512,14.7277495652174,0.3904,0.071408285398079
"AR-370_NR2_2016-03-11_R_T3","370","NR2","2016-03-11","Radiating",3,14.8358,14.506,14.6505875,0.329800000000001,0.0666380056125393
"AR-370_NR2_2016-03-11_S","370","NR2","2016-03-11","Structural",0,15.38277553,14.62998309,14.9112893354167,0.75279244,0.22784136056842
"AR-370_PIPES_2015-09-03_R_T1","370","PIPES","2015-09-03","Radiating",1,16.0446,15.7382,15.8818645614035,0.306399999999998,0.0549582111433594
"AR-370_PIPES_2015-09-03_R_T2","370","PIPES","2015-09-03","Radiating",2,15.9839,15.6473,15.7858768976898,0.336600000000001,0.0633350189869624
"AR-370_PIPES_2015-09-03_S","370","PIPES","2015-09-03","Structural",0,15.9968,15.1505,15.6545651982379,0.846300000000001,0.195682753626026
