OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y
290,9,1,284095.2404,28,2388731.659,184291.6388,2646842.293,302988.7598
291,10,27,1318.189022,1,2377532.441,157141.8639,2376220.008,157264.914
292,10,26,1461.081353,2,2377532.441,157141.8639,2376097.123,157415.0303
293,10,23,2103.565408,3,2377532.441,157141.8639,2375431.213,157042.7226
294,10,11,2267.859576,4,2377532.441,157141.8639,2379463.585,158330.9259
295,10,12,2288.350833,5,2377532.441,157141.8639,2379732.846,157770.1696
296,10,13,24436.54172,6,2377532.441,157141.8639,2379004.762,132749.7167
297,10,28,24436.54172,6,2377532.441,157141.8639,2379004.762,132749.7167
298,10,14,24845.51755,7,2377532.441,157141.8639,2377809.497,132297.8911
299,10,15,25584.46581,8,2377532.441,157141.8639,2378943.616,131596.3461
300,10,16,26423.62755,9,2377532.441,157141.8639,2378096.736,130724.2625
301,10,17,26724.61095,10,2377532.441,157141.8639,2379351.32,130479.2213
302,10,24,27148.99688,11,2377532.441,157141.8639,2387820.893,182265.8719
303,10,25,27325.021,12,2377532.441,157141.8639,2387869.067,182436.3484
304,10,21,28279.12768,13,2377532.441,157141.8639,2388412.754,183244.1214
305,10,22,28727.84735,14,2377532.441,157141.8639,2388710.32,183605.8815
306,10,9,29368.90809,15,2377532.441,157141.8639,2388731.659,184291.6388
307,10,18,60736.24266,16,2377532.441,157141.8639,2345519.887,105527.0643
308,10,29,62764.47232,17,2377532.441,157141.8639,2343461.743,104429.7542
309,10,19,63462.90812,18,2377532.441,157141.8639,2342097.36,104493.0675
310,10,20,64064.3055,19,2377532.441,157141.8639,2342131.096,103747.2949
311,10,4,267257.2037,20,2377532.441,157141.8639,2590076.669,319164.5906
312,10,7,268714.2106,21,2377532.441,157141.8639,2609853.305,292176.4644
313,10,6,268981.6363,22,2377532.441,157141.8639,2609264.738,293711.4921
314,10,8,269494.0018,23,2377532.441,157141.8639,2610221.152,293093.9902
315,10,5,269929.4023,24,2377532.441,157141.8639,2610561.839,293373.953
316,10,3,303456.9935,25,2377532.441,157141.8639,2644816.1,300827.6066
317,10,2,304223.3689,26,2377532.441,157141.8639,2645977.308,300282.3944
318,10,0,305860.9593,27,2377532.441,157141.8639,2646678.523,302439.1905
319,10,1,306266.4088,28,2377532.441,157141.8639,2646842.293,302988.7598
320,11,12,622.0520877,1,2379463.585,158330.9259,2379732.846,157770.1696
321,11,10,2267.859576,2,2379463.585,158330.9259,2377532.441,157141.8639
322,11,27,3414.26083,3,2379463.585,158330.9259,2376220.008,157264.914
323,11,26,3488.830171,4,2379463.585,158330.9259,2376097.123,157415.0303
324,11,23,4233.142248,5,2379463.585,158330.9259,2375431.213,157042.7226
325,11,24,25352.04602,6,2379463.585,158330.9259,2387820.893,182265.8719
326,11,25,25528.87592,7,2379463.585,158330.9259,2387869.067,182436.3484
327,11,13,25585.32356,8,2379463.585,158330.9259,2379004.762,132749.7167
328,11,28,25585.32356,8,2379463.585,158330.9259,2379004.762,132749.7167
329,11,14,26085.53066,9,2379463.585,158330.9259,2377809.497,132297.8911
330,11,21,26471.77614,10,2379463.585,158330.9259,2388412.754,183244.1214
331,11,15,26739.63581,11,2379463.585,158330.9259,2378943.616,131596.3461
332,11,22,26913.29572,12,2379463.585,158330.9259,2388710.32,183605.8815
333,11,9,27565.4821,13,2379463.585,158330.9259,2388731.659,184291.6388
334,11,16,27640.48013,14,2379463.585,158330.9259,2378096.736,130724.2625
335,11,17,27851.93088,15,2379463.585,158330.9259,2379351.32,130479.2213
336,11,18,62772.78458,16,2379463.585,158330.9259,2345519.887,105527.0643
337,11,29,64818.73944,17,2379463.585,158330.9259,2343461.743,104429.7542
338,11,19,65534.34043,18,2379463.585,158330.9259,2342097.36,104493.0675
339,11,20,66129.32445,19,2379463.585,158330.9259,2342131.096,103747.2949
340,11,4,265000.6393,20,2379463.585,158330.9259,2590076.669,319164.5906
341,11,7,266447.0883,21,2379463.585,158330.9259,2609853.305,292176.4644
342,11,6,266714.2052,22,2379463.585,158330.9259,2609264.738,293711.4921
343,11,8,267226.7543,23,2379463.585,158330.9259,2610221.152,293093.9902
344,11,5,267662.1411,24,2379463.585,158330.9259,2610561.839,293373.953
345,11,3,301193.0625,25,2379463.585,158330.9259,2644816.1,300827.6066
346,11,2,301959.9044,26,2379463.585,158330.9259,2645977.308,300282.3944
347,11,0,303596.7962,27,2379463.585,158330.9259,2646678.523,302439.1905
348,11,1,304002.0755,28,2379463.585,158330.9259,2646842.293,302988.7598
349,12,11,622.0520877,1,2379732.846,157770.1696,2379463.585,158330.9259
350,12,10,2288.350833,2,2379732.846,157770.1696,2377532.441,157141.8639
351,12,27,3548.987811,3,2379732.846,157770.1696,2376220.008,157264.914
352,12,26,3653.027107,4,2379732.846,157770.1696,2376097.123,157415.0303
353,12,23,4362.708194,5,2379732.846,157770.1696,2375431.213,157042.7226
354,12,13,25031.04411,6,2379732.846,157770.1696,2379004.762,132749.7167
355,12,28,25031.04411,6,2379732.846,157770.1696,2379004.762,132749.7167
356,12,14,25544.78899,7,2379732.846,157770.1696,2377809.497,132297.8911
357,12,24,25796.43276,8,2379732.846,157770.1696,2387820.893,182265.8719
358,12,25,25973.41835,9,2379732.846,157770.1696,2387869.067,182436.3484
359,12,15,26185.71977,10,2379732.846,157770.1696,2378943.616,131596.3461
360,12,21,26912.13532,11,2379732.846,157770.1696,2388412.754,183244.1214
361,12,16,27095.34919,12,2379732.846,157770.1696,2378096.736,130724.2625
362,12,17,27293.61507,13,2379732.846,157770.1696,2379351.32,130479.2213
363,12,22,27351.03389,14,2379732.846,157770.1696,2388710.32,183605.8815
