"ID","Site","Subsite","Date","Transect_Type","Transect_Number","Temp_avg","Temp_max","Temp_min"
"AR-372_TRAINCARS_2015-09-02_R_T2","372","TRAINCARS","2015-09-02","Radiating",2,27.665,27.665,27.665
"AR-372_TRAINCARS_2015-09-03_R_T3","372","TRAINCARS","2015-09-03","Radiating",3,27.665,27.665,27.665
"AR-372_TRAINCARS_2015-09-03_S","372","TRAINCARS","2015-09-03","Structural",0,27.6652972972973,27.764,27.665
"AR-372_TRAINCARS_2016-03-11_R_T1","372","TRAINCARS","2016-03-11","Radiating",1,14.23,14.23,14.23
"AR-372_TRAINCARS_2016-03-11_R_T2","372","TRAINCARS","2016-03-11","Radiating",2,14.23,14.23,14.23
"AR-372_TRAINCARS_2016-03-11_R_T3","372","TRAINCARS","2016-03-11","Radiating",3,14.23,14.23,14.23
"AR-372_TRAINCARS_2016-03-11_S","372","TRAINCARS","2016-03-11","Structural",0,14.23,14.23,14.23
"AR-378_NR1_2015-09-14_S","378","NR1","2015-09-14","Structural",0,27.173,27.173,27.173
"AR-378_NR1_2016-05-10_R_T1","378","NR1","2016-05-10","Radiating",1,21.282,21.282,21.282
"AR-378_NR1_2016-05-10_R_T2","378","NR1","2016-05-10","Radiating",2,21.282,21.282,21.282
"AR-378_NR1_2016-05-10_R_T3","378","NR1","2016-05-10","Radiating",3,21.282,21.282,21.282
"AR-378_NR1_2016-05-10_S","378","NR1","2016-05-10","Structural",0,21.282,21.282,21.282
"AR-378_PIPES_2015-09-14_R_T1","378","PIPES","2015-09-14","Radiating",1,27.075,27.075,27.075
"AR-378_PIPES_2015-09-14_R_T2","378","PIPES","2015-09-14","Radiating",2,27.075,27.075,27.075
"AR-378_PIPES_2015-09-14_S","378","PIPES","2015-09-14","Structural",0,27.075,27.075,27.075
"AR-378_PIPES_2016-01-21_R_T1","378","PIPES","2016-01-21","Radiating",1,12.11,12.11,12.11
"AR-378_PIPES_2016-01-21_R_T2","378","PIPES","2016-01-21","Radiating",2,12.11,12.11,12.11
"AR-378_PIPES_2016-01-21_R_T3","378","PIPES","2016-01-21","Radiating",3,12.0618391608392,12.11,12.013
"AR-378_PIPES_2016-01-21_S","378","PIPES","2016-01-21","Structural",0,12.11,12.11,12.11
"AR-378_PODS_2015-09-14_R_T1","378","PODS","2015-09-14","Radiating",1,27.173,27.173,27.173
"AR-378_PODS_2015-09-14_R_T2","378","PODS","2015-09-14","Radiating",2,27.1457159090909,27.173,27.075
"AR-378_PODS_2015-09-14_R_T3","378","PODS","2015-09-14","Radiating",3,27.075,27.075,27.075
"AR-378_PODS_2015-09-14_S","378","PODS","2015-09-14","Structural",0,27.173,27.173,27.173
"AR-378_PODS_2016-03-17_R_T1","378","PODS","2016-03-17","Radiating",1,13.846,13.846,13.846
"AR-378_PODS_2016-03-17_R_T2","378","PODS","2016-03-17","Radiating",2,13.846,13.846,13.846
"AR-378_PODS_2016-03-17_R_T3","378","PODS","2016-03-17","Radiating",3,13.8557777777778,13.942,13.846
"AR-378_PODS_2016-03-17_S","378","PODS","2016-03-17","Structural",0,13.846,13.846,13.846
"AR-378_RB1_2016-05-10_R_T1","378","RB1","2016-05-10","Radiating",1,21.091,21.091,21.091
"AR-378_RB1_2016-05-10_R_T2","378","RB1","2016-05-10","Radiating",2,21.091,21.091,21.091
"AR-378_RB1_2016-05-10_R_T3","378","RB1","2016-05-10","Radiating",3,21.091,21.091,21.091
